"Rang","Navn","Antall per 2020"
"656","Juni","403"
"657","Noor","402"
"658","Snefrid","402"
"659","Molly","401"
"660","Katinka","397"
"661","Matilda","396"
"662","Turi","395"
"663","Anastasia","394"
"664","Jofrid","394"
"665","Wenke","394"
"666","Tamara","392"
"667","Daria","387"
"668","Rosa","385"
"669","Serine","385"
"670","Anne-Berit","381"
"671","Anne-Mette","381"
"672","Sienna","381"
"673","Magny","378"
"674","Sahra","378"
"675","Gunnlaug","377"
"676","Anlaug","376"
"677","Belinda","376"
"678","Edle","375"
"679","Elfrid","375"
"680","Mila","375"
"681","Sigfrid","375"
"682","Beatrice","373"
"683","Gyda","373"
"684","Alicia","372"
"685","Susanna","371"
"686","Ailin","370"
"687","Aria","370"
"688","Viktorija","370"
"689","Martyna","368"
"690","Solrun","367"
"691","Magda","363"
"692","Ines","361"
"693","Vida","360"
"694","Angelina","359"
"695","Oliwia","357"
"696","Ilona","356"
"697","Thora","356"
"698","Siril","355"
"699","Gudny","353"
"700","Fiona","352"
"701","Grace","350"
"702","Jennie","349"
"703","Gun","348"
"704","Elinor","347"
"705","Suzanne","347"
"706","Felicia","345"
"707","Muna","345"
"708","Edna","344"
"709","Anne-Mari","342"
"710","Rebecka","342"
"711","Halima","340"
"712","Trine-Lise","340"
"713","Dominika","339"
"714","Kathe","338"
"715","Magni","338"
"716","Mariel","337"
"717","Viola","337"
"718","Åslaug","337"
"719","Agathe","335"
"720","Herborg","335"
"721","My","335"
"722","Ninni","332"
"723","Adelen","331"
"724","Cathrin","331"
"725","Hanan","331"
"726","Sabine","331"
"727","Mari-Ann","330"
"728","Sana","328"
"729","Irena","327"
"730","Rasa","327"
"731","Ma","326"
"732","Melanie","326"
"733","Sabina","326"
"734","Ekaterina","325"
"735","Ayan","324"
"736","Kinga","324"
"737","Marzena","324"
"738","Daniella","319"
"739","Anbjørg","317"
"740","Gunnbjørg","317"
"741","Ieva","316"
"742","Møyfrid","316"
"743","Edyta","315"
"744","Gabriele","314"
"745","Lidia","312"
"746","Carolina","311"
"747","Maryan","311"
"748","Henrikke","310"
"749","Amelie","309"
"750","Galina","309"
"751","Lilian","309"
"752","Weronika","309"
"753","Anne-Sofie","308"
"754","Ayse","308"
"755","Peggy","304"
"756","Renathe","304"
"757","Jurgita","303"
"758","Liliana","302"
"759","Dorthea","301"
"760","Fatemeh","301"
"761","Gudveig","301"
"762","Renee","301"
"763","Venche","300"
"764","Emelie","299"
"765","Inger-Marie","298"
"766","Ivana","298"
"767","Tanya","298"
"768","Anne-Marit","297"
"769","Ayla","297"
"770","Alette","296"
"771","Carla","296"
"772","Eliza","296"
"773","Aashild","293"
"774","Karla","293"
"775","Alba","292"
"776","Lucia","291"
"777","Theresa","291"
"778","Zara","291"
"779","Marthine","290"
"780","Tia","290"
"781","Emina","287"
"782","Margun","287"
"783","Naima","287"
"784","Solgunn","287"
"785","Malena","286"
"786","Natasha","286"
"787","Oksana","286"
"788","Egle","285"
"789","Hild","285"
"790","Alisa","282"
"791","Saba","282"
"792","Zofia","282"
"793","Betina","280"
"794","Edita","278"
"795","Margarita","278"
"796","Gabrielle","277"
"797","Ngoc","277"
"798","Ragne","277"
"799","Yngvild","277"
"800","Frid","275"
"801","Ruta","275"
"802","Leni","273"
"803","Sadia","273"
"804","Asma","271"
"805","Daiva","271"
"806","Lucy","271"
"807","Nadine","271"
"808","Nadja","271"
"809","Aasta","270"
"810","Aline","270"
"811","Jacqueline","270"
"812","Nour","270"
"813","Else-Marie","269"
"814","Judit","269"
"815","Hulda","268"
"816","Isa","268"
"817","Marry","268"
"818","Samantha","268"
"819","Thuy","268"
"820","Carine","267"
"821","Eiril","267"
"822","Tirill","267"
"823","Amna","266"
"824","Madelene","266"
"825","Ea","264"
"826","Mariana","264"
"827","Benthe","263"
"828","Cindy","262"
"829","Kathinka","262"
"830","Lindis","261"
"831","Nada","261"
"832","Elbjørg","260"
"833","Gloria","259"
"834","May-Liss","259"
"835","Serina","259"
"836","Magna","258"
"837","Wigdis","258"
"838","Vår","257"
"839","Anisa","256"
"840","Bushra","256"
"841","Inghild","256"
"842","Janita","256"
"843","Wendy","256"
"844","Ingvil","255"
"845","Marwa","255"
"846","Olava","255"
"847","Elea","254"
"848","Elsie","253"
"849","Leyla","253"
"850","Nova","252"
"851","Olena","252"
"852","Asha","251"
"853","Desiree","250"
"854","Rina","250"
"855","Thanh","250"
"856","Melinda","248"
"857","Kathrin","246"
"858","Farah","245"
"859","Hatice","245"
"860","Rania","245"
"861","Seline","245"
"862","Ragni","244"
"863","Agne","243"
"864","Anne-Lene","242"
"865","Hafsa","242"
"866","Krystyna","242"
"867","Sumaya","242"
"868","Urszula","242"
"869","Edda","240"
"870","Bertha","239"
"871","Jasmine","239"
"872","Aylin","238"
"873","Sidra","238"
"874","Danuta","237"
"875","Emely","237"
"876","Gunda","237"
"877","Nikola","237"
"878","Aileen","236"
"879","Mai-Britt","236"
"880","Norma","236"
"881","Jasmina","235"
"882","Mary-Ann","235"
"883","Senait","235"
"884","Bozena","234"
"885","Jamila","234"
"886","Rahma","234"
"887","Aagot","231"
"888","Audny","231"
"889","Birgitta","231"
"890","Dalia","231"
"891","Grazyna","231"
"892","Eden","230"
"893","Edit","228"
"894","Violeta","227"
"895","Thilde","226"
"896","Bella","225"
"897","Cicilie","224"
"898","Dana","224"
"899","Sahar","224"
"900","Eir","223"
"901","Najma","223"
"902","Gintare","222"
"903","Kristel","222"
"904","Eirill","221"
"905","Liz","221"
"906","Wanja","221"
"907","Enya","219"
"908","Otilie","219"
"909","Siham","218"
"910","Michaela","217"
"911","Leikny","216"
"912","Thu","216"
"913","Azra","214"
"914","Mathilda","214"
"915","Phuong","214"
"916","Cesilie","213"
"917","Anne-Kristin","212"
"918","Safia","212"
"919","Sine","212"
"920","Berta","211"
"921","Joan","211"
"922","Liana","211"
"923","Miranda","211"
"924","Ausra","210"
"925","Hong","210"
"926","Katrina","210"
"927","Liza","210"
"928","Rabia","210"
"929","Une","210"
"930","Katherine","209"
"931","Celia","208"
"932","Janniche","208"
"933","Anne-Kari","207"
"934","Livia","207"
"935","Eilen","206"
"936","Gine","206"
"937","Malika","206"
"938","Vaida","206"
"939","Gunlaug","205"
"940","Larisa","205"
"941","Elma","204"
"942","Emilija","204"
"943","Savannah","204"
"944","Zeinab","204"
"945","Eliana","203"
"946","Freya","203"
"947","Juliana","203"
"948","Iqra","202"
"949","Iryna","202"
"950","Jette","202"
"951","Maylen","202"
"952","Saima","202"
"953","Wencke","202"
"954","Hodan","201"
"955","Inge","201"
"956","Rahel","201"
"957","Deborah","200"
"958","Eilin","200"
"959","Hamdi","200"
"960","Sharon","200"
