"Navn","Rang f ca. 1700[3][4]","Rang f ca. 1800[3][4]","Rang f ca. 1900[5]","Rang f ca. 2000[6]","Rang ibefolkningen 2005","Antall ibefolkningen 2005","Rang ibefolkningen 2018[2]","Antall ibefolkningen 2018[2]"
"Gjert","","","","","478","334","684","293"
"Glen","","","","","","< 200","837","208"
"Glenn","","","","","138","3 826","156","3 827"
"Goran","","","","","","< 200","707","277"
"Gorm","","","","","524","285","687","288"
"Grzegorz","","","","","","< 200","267","1 828"
"Gudbrand","","","","","493","317","764","240"
"Gudmund","","","","","270","1 279","371","927"
"Gulbrand","27","36","","","","< 200","","< 200"
"Gunder","20","24","","","","< 200","","< 200"
"Gunnar","","","22","","27","16 612","42","12 641"
"Gunvald","","","","","390","528","672","306"
"Gustav","","","44","","248","1 436","231","2 310"
"Guttorm","","","","","324","844","437","653"
"Gøran","","","","","291","1 122","345","1 124"
"Haagen","47","50","","","","< 200","","< 200"
"Haakon","","","","","193","2 184","211","2 706"
"Haavard","","","","","","< 200","853","203"
"Haldor","","","","","458","369","650","321"
"Halfdan","","","","","469","353","694","285"
"Hallgeir","","","","","308","952","370","936"
"Hallstein","","","","","485","325","696","284"
"Hallvard","","","","","231","1 600","296","1 523"
"Halvar","","","","","599","206","","< 200"
"Halvard","","","","","232","1 597","303","1 417"
"Halvdan","","","","","579","226","","< 200"
"Halvor","14","17","","","160","3 123","190","3 009"
"Hamid","","","","","573","230","606","359"
"Hamza","","","","","562","248","438","652"
"Hans","3","2","4","48","10","24 616","15","21 092"
"Hans-Petter","","","","","455","376","603","360"
"Harald","","","8","","25","17 098","38","13 966"
"Haris","","","","","","< 200","854","203"
"Harry","","","","","158","3 268","248","2 145"
"Hasan","","","","","481","333","460","592"
"Hassan","","","","","342","725","311","1 374"
"Hauk","","","","","","< 200","714","273"
"Heine","","","","","363","622","346","1 104"
"Helge","31","39","","","36","14 131","46","11 888"
"Helmer","","","","","","< 200","628","341"
"Hendrich","","40","","","","< 200","","< 200"
"Henning","","","","","112","5 333","123","5 296"
"Henrich","","47","","","","< 200","","< 200"
"Henrik","","","","8","49","11 501","29","15 610"
"Henry","","","38","","182","2 452","253","2 102"
"Henryk","","","","","","< 200","715","272"
"Herbjørn","","","","","602","202","","< 200"
"Herman","","","","","180","2 512","141","4 411"
"Hermann","","","","","346","716","421","696"
"Hermod","","","","","385","541","568","409"
"Hilmar","","","","","354","657","544","451"
"Hjalmar","","","","","349","696","517","491"
"Hogne","","","","","463","362","598","370"
"Holger","","","","","469","353","654","318"
"Hubert","","","","","","< 200","704","279"
"Hugo","","","","","277","1 228","301","1 452"
"Hussain","","","","","","< 200","844","205"
"Hussein","","","","","522","286","417","714"
"Håkon","","","36","20","47","11 737","41","12 966"
"Håvar","","","","","405","489","510","500"
"Håvard","","","","36","75","8 549","72","9 159"
"Ian","","","","","466","358","473","568"
"Ibrahim","","","","","370","608","280","1 703"
"Idar","","","","","238","1 520","317","1 327"
"Idris","","","","","","< 200","823","213"
"Igor","","","","","","< 200","475","564"
"Ilyas","","","","","","< 200","724","265"
"Imran","","","","","","< 200","601","364"
"Imre","","","","","","< 200","552","430"
"Ingar","","","","","204","2 006","271","1 773"
"Inge","","","","","111","5 401","135","4 827"
"Ingebrigt","","42","","","423","436","624","347"
"Ingmar","","","","","567","233","756","244"
"Ingolf","","","","","327","832","528","476"
"Ingvald","","","41","","300","1 042","457","602"
"Ingvar","","","","","241","1 502","336","1 184"
"Ingve","","","","","464","361","612","355"
"Ireneusz","","","","","","< 200","713","274"
"Isa","","","","","","< 200","797","226"
"Isaac","","","","","","< 200","557","422"
"Isac","","","","","","< 200","567","414"
"Isak","","","","","202","2 016","122","5 382"
"Ismail","","","","","495","316","413","728"
"Ivan","","","","","287","1 153","276","1 735"
"Ivar","","","29","","52","10 772","78","8 640"
"Iver","18","19","","","259","1 354","188","3 029"
"Ivo","","","","","","< 200","695","285"
"Jacek","","","","","","< 200","337","1 166"
"Jack","","","","","330","810","375","909"
"Jacob","10","11","","","220","1 744","175","3 412"
"Jahn","","","","","362","633","468","578"
"Jakob","","","","","148","3 504","112","6 042"
"Jakub","","","","","","< 200","328","1 220"
"Jamal","","","","","606","200","578","395"
"James","","","","","399","495","396","816"
"Jan","","","","44","1","51 268","1","47 588"
"Jan-Erik","","","","","293","1 111","350","1 052"
"Janis","","","","","","< 200","616","352"
"Jann","","","","","408","482","540","454"
"Janusz","","","","","","< 200","446","623"
"Jaran","","","","","","< 200","839","207"
"Jarand","","","","","577","228","683","295"
"Jardar","","","","","557","250","708","277"
"Jarl","","","","","228","1 660","292","1 573"
"Jarle","","","","","91","6 975","109","6 393"
"Jaroslaw","","","","","","< 200","354","1 021"
"Jason","","","","","","< 200","742","251"
"Jean","","","","","487","323","558","422"
"Jens","7","10","34","","81","8 043","88","7 924"
"Jeppe","","","","","","< 200","623","348"
"Jerzy","","","","","","< 200","507","504"
"Jesper","","","","","235","1 547","189","3 026"
"Jim","","","","","234","1 554","294","1 558"
"Jimmy","","","","","398","503","447","622"
"Jo","","","","","201","2 020","241","2 222"
"Joachim","","","","","152","3 468","160","3 779"
"Joacim","","","","","461","363","591","375"
"Joakim","","","","21","101","6 135","102","6 970"
"Joao","","","","","","< 200","801","224"
"Joar","","","","","260","1 337","310","1 381"
"Joel","","","","","577","228","435","659"
"Joen","21","30","","","","< 200","","< 200"
"Johan","21","13","1","","57","10 251","60","9 702"
"Johanes","","46","","","","< 200","","< 200"
"Johann","","","","","529","280","575","401"
"Johannes","8","7","16","","92","6 765","82","8 351"
"John","12","23","21","","17","21 274","22","18 688"
"Johnny","","","","","121","4 904","140","4 492"
"Jomar","","","","","534","275","725","265"
"Jon","12","14","","50","28","16 467","30","15 561"
"Jonah","","","","","","< 200","633","337"
"Jonas","","","","10","67","9 594","34","14 785"
"Jonatan","","","","","389","529","358","1 011"
"Jonathan","","","","","245","1 476","158","3 805"
"Jone","","","","","311","930","340","1 156"
"Jonn","","","","","527","283","780","234"
"Jonny","","","","","169","2 893","215","2 640"
"Jorge","","","","","","< 200","636","335"
"Jose","","","","","415","457","378","887"
"Josef","","","","","412","471","425","681"
"Joseph","","","","","526","284","491","536"
"Joshua","","","","","","< 200","637","335"
"Jostein","","","","","100","6 351","113","5 986"
"Jozef","","","","","","< 200","536","468"
"Juan","","","","","490","321","441","648"
"Julian","","","","","290","1 133","166","3 638"
"Julius","","","","","500","312","487","544"
"Justin","","","","","","< 200","824","213"
"Jøran","37","","","","328","826","383","854"
"Jørg","","","","","","< 200","816","217"
"Jørgen","19","21","48","19","53","10 553","52","10 984"
"Jørn","","","","","103","6 016","114","5 854"
"Jørund","","","","","394","513","498","516"
"Kaare","","","","","304","986","522","481"
"Kacper","","","","","","< 200","488","544"
"Kai","","","","","117","5 091","133","4 865"
"Kaj","","","","","468","356","632","338"
"Kamal","","","","","","< 200","810","219"
"Kamil","","","","","","< 200","367","941"
"Karim","","","","","","< 200","677","303"
"Karl","","","6","","66","9 644","80","8 399"
"Karol","","","","","","< 200","458","600"
"Karolis","","","","","","< 200","805","221"
"Karstein","","","","","312","917","414","724"
"Karsten","","","","","197","2 077","274","1 753"
"Kasper","","","","","253","1 393","163","3 696"
"Kato","","","","","521","288","726","264"
"Kay","","","","","319","862","382","857"
"Kazimierz","","","","","","< 200","734","259"
"Ken","","","","","242","1 499","295","1 538"
"Kennet","","","","","513","298","690","287"
"Kenneth","","","","","69","9 335","63","9 425"
"Kenny","","","","","","< 200","798","226"
"Kent","","","","","185","2 393","225","2 451"
"Kestutis","","","","","","< 200","658","313"
"Ketil","","","","","176","2 619","221","2 516"
"Kevin","","","","","181","2 492","145","4 174"
"Khaled","","","","","","< 200","530","475"
"Khalid","","","","","502","310","440","650"
"Khalil","","","","","","< 200","774","236"
"Kian","","","","","","< 200","705","278"
"Kim","","","","43","84","7 780","87","8 043"
"Kim-Andre","","","","","478","334","634","337"
"Kjartan","","","","","274","1 263","329","1 216"
"Kjell","","","","","5","31 552","6","25 989"
"Kjetil","","","","","54","10 452","55","10 302"
"Klaus","","","","","318","871","399","789"
"Knud","9","12","","","586","216","","< 200"
"Knut","37","","27","","8","28 268","9","24 120"
"Kolbjørn","","","","","256","1 367","365","960"
"Konrad","","","","","329","822","316","1 345"
"Kornelius","","","","","","< 200","665","309"
"Kristen","","","","","302","997","409","745"
"Krister","","","","","343","720","406","770"
"Kristian","","","12","13","33","14 913","27","16 404"
"Kristoffer","","","","16","73","8 611","57","10 101"
"Krystian","","","","","","< 200","559","422"
"Krzysztof","","","","","593","208","205","2 839"
"Kurt","","","","","140","3 801","173","3 434"
"Kyrre","","","","","309","942","372","922"
"Kåre","","","","","40","12 769","79","8 464"
"Lars","4","5","20","14","6","30 188","5","29 802"
"Lars-Erik","","","","","399","495","516","493"
"Lasse","","","","","114","5 206","120","5 469"
"Laurits","","","","","530","278","613","355"
"Lauritz","","","","","483","326","573","406"
"Lavrans","","","","","","< 200","596","371"
"Leander","","","","","477","336","243","2 190"
"Leif","","","26","","30","16 075","45","12 200"
"Leiv","","","","","243","1 493","344","1 130"
"Lennart","","","","","410","474","501","510"
"Leo","","","","","386","539","229","2 333"
"Leon","","","","","336","759","157","3 823"
"Leonard","","","","","539","266","431","674"
"Leonardo","","","","","","< 200","765","240"
"Leszek","","","","","","< 200","562","418"
"Levi","","","","","548","257","379","886"
"Liam","","","","","","< 200","179","3 305"
"Liban","","","","","","< 200","799","226"
"Linas","","","","","","< 200","688","288"
"Linus","","","","","602","202","277","1 729"
"Loke","","","","","","< 200","512","497"
"Lorentz","","","","","550","256","772","237"
"Louis","","","","","570","232","584","380"
"Luca","","","","","","< 200","535","470"
"Lucas","","","","","432","417","147","4 013"
"Ludvig","","","","","316","886","234","2 294"
"Ludvik","","","","","413","469","327","1 226"
"Luis","","","","","493","317","448","619"
"Luka","","","","","","< 200","608","357"
"Lukas","","","","","365","614","172","3 568"
"Lukasz","","","","","","< 200","264","1 853"
